id,sweep_init_time,pop_radius_at_sweep_init
000000DCab,0,0
000000DDbb,0,0
000000DDab,0,0
000000DEbb,0,0
000000DEb,381.217743,38.42706809
000000DEbb,0,0
000000DFb,0,0
000000DFbb,0,0
000000E0b,0,0
000000E0bb,0,0
000000E1b,0,0
000000E1bb,0,0
000000E2b,0,0
000000E2bb,0,0
000000E3b,0,0
000000E3bb,0,0
000000E4b,0,0
000000E4bb,0,0
000000E5b,0,0
000000E5bb,0,0
000000E6b,0,0
000000E6bb,0,0
000000E7b,0,0
000000E7bb,0,0
000000E7ab,378.728546,44.32749629
000000E8bb,0,0
000000E8b,141.27153,16.87860623
000000E8bb,0,0
000000E9b,0,0
000000E9bb,0,0
000000EAb,0,0
000000EAbb,0,0
000000EAab,358.420502,43.40594679
000000EBbb,0,0
000000EBab,0,0
000000ECbb,0,0
000000ECab,0,0
000000EDbb,0,0
000000EDab,0,0
000000EEbb,0,0
000000EEab,0,0
000000EFbb,0,0
000000EFab,0,0
000000F0bb,0,0
000000F0ab,0,0
000000F1bb,0,0
000000F1ab,0,0
000000F2bb,0,0
000000F2ab,0,0
000000F3bb,0,0
000000F3ab,0,0
000000F4bb,0,0
000000F4ab,0,0
000000F5bb,0,0
000000F5ab,0,0
000000F6bb,0,0
000000F6ab,0,0
000000F7bb,0,0
000000F7ab,0,0
000000F8bb,0,0
000000F8ab,0,0
000000F9bb,0,0
000000F9ab,0,0
000000FAbb,0,0
000000FAab,0,0
000000FBbb,0,0
000000FBab,0,0
000000FCbb,0,0
000000FCab,0,0
000000FDbb,0,0
000000FDab,0,0
000000FEbb,0,0
000000FEab,0,0
000000FFbb,0,0
000000FFab,0,0
00000100bb,0,0
00000100ab,0,0
00000101bb,0,0
00000101b,137.568741,12.590406
00000101bb,181.459167,18.06287998
00000101ab,0,0
00000102bb,0,0
00000102ab,0,0
00000103bb,0,0
00000103ab,0,0
00000104bb,0,0
00000104ab,0,0
00000105bb,0,0
00000105ab,0,0
00000106bb,0,0
00000106ab,0,0
00000107bb,0,0
00000107ab,0,0
00000108bb,0,0
00000108ab,0,0
00000109bb,0,0
00000109ab,0,0
0000010Abb,0,0
0000010Aab,0,0
0000010Bbb,0,0
0000010Bab,0,0
0000010Cbb,0,0
0000010Cab,0,0
0000010Dbb,0,0
0000010Dab,0,0
0000010Ebb,0,0
0000010Eab,0,0
0000010Fbb,0,0
0000010Fab,0,0
00000110bb,0,0
00000110ab,0,0
00000111bb,0,0
00000111ab,0,0
00000112bb,0,0
00000112ab,0,0
00000113bb,0,0
00000113ab,0,0
00000114bb,0,0
00000114ab,0,0
00000115bb,0,0
00000115ab,0,0
00000116bb,0,0
00000116ab,0,0
00000117bb,0,0
00000117ab,0,0
00000118bb,0,0
00000118ab,0,0
00000119bb,0,0
00000119ab,0,0
0000011Abb,0,0
0000011Aab,0,0
0000011Bbb,0,0
0000011Bab,0,0
0000011Cbb,0,0
0000011Cab,0,0
0000011Dbb,0,0
0000011Dab,0,0
0000011Ebb,0,0
0000011Eab,0,0
0000011Fbb,0,0
0000011Fab,0,0
0000011Fbb,17.626753,2.45924538
0000011Fab,634.180481,80.42027274
00000120bb,0,0
00000120ab,0,0
00000121bb,0,0
00000121ab,0,0
00000122bb,0,0
00000122ab,0,0
00000123bb,0,0
00000123ab,0,0
00000124bb,0,0
00000124ab,0,0
00000125bb,0,0
00000125ab,0,0
00000126bb,0,0
00000126ab,0,0
00000127bb,0,0
00000127ab,0,0
00000128bb,0,0
00000128ab,0,0
