,index,log2_deme,migration_rate,normal_birth_rate
360,00000094,1,0.1,0.83333333333
361,0000015B,2,0.01,0.83333333333
362,000004E6,4,1.0,0.90909090909
363,000009D4,8,0.75,0.71428571428
364,000004F2,4,1.0,0.83333333333
365,00000346,3,0.25,0.71428571428
366,000004E9,4,1.0,0.90909090909
367,000005CC,5,0.5,0.95238095238
368,00000521,5,0.01,0.71428571428
369,000006AE,6,0.05,0.71428571428
370,000007AE,7,0.025,0.95238095238
371,00000909,8,0.025,0.71428571428
372,000005B5,5,0.25,0.83333333333
373,00000919,8,0.05,0.95238095238
374,00000746,6,0.75,0.83333333333
375,00000237,2,0.75,0.95238095238
376,00000049,1,0.025,0.71428571428
377,000009AE,8,0.5,0.71428571428
378,00000442,4,0.1,0.90909090909
379,000001B2,2,0.05,0.71428571428
380,000005D4,5,0.5,0.90909090909
381,00000128,1,1.0,0.90909090909
382,00000780,7,0.01,0.95238095238
383,000001E5,2,0.25,0.95238095238
384,00000316,3,0.1,0.71428571428
385,00000793,7,0.01,0.90909090909
386,00000787,7,0.01,0.95238095238
387,000001F1,2,0.25,0.90909090909
388,00000235,2,0.75,0.95238095238
389,00000191,2,0.05,0.95238095238
390,00000021,1,0.01,0.71428571428
391,0000073C,6,0.75,0.90909090909
392,000000AF,1,0.25,0.90909090909
393,0000072C,6,0.5,0.71428571428
394,0000042C,4,0.05,0.83333333333
395,00000569,5,0.05,0.83333333333
396,0000051C,5,0.01,0.83333333333
397,0000028B,3,0.01,0.90909090909
398,0000079B,7,0.01,0.83333333333
399,0000039A,3,1.0,0.95238095238
400,000009F7,8,1.0,0.71428571428
401,000008DC,8,0.01,0.83333333333
402,000009BF,8,0.75,0.90909090909
403,0000029E,3,0.01,0.71428571428
404,000000B4,1,0.25,0.83333333333
405,0000090B,8,0.025,0.71428571428
406,00000852,7,0.5,0.90909090909
407,00000190,2,0.05,0.95238095238
408,00000959,8,0.1,0.71428571428
409,00000199,2,0.05,0.95238095238
410,00000259,2,1.0,0.95238095238
411,000009DF,8,1.0,0.95238095238
412,0000099C,8,0.5,0.83333333333
413,00000183,2,0.025,0.83333333333
414,00000856,7,0.5,0.90909090909
415,00000599,5,0.1,0.71428571428
416,0000064B,6,0.01,0.90909090909
417,00000584,5,0.1,0.90909090909
418,000009E6,8,1.0,0.90909090909
419,000001FC,2,0.25,0.83333333333
420,00000571,5,0.05,0.71428571428
421,000000FD,1,0.75,0.90909090909
422,00000783,7,0.01,0.95238095238
423,000006CB,6,0.1,0.90909090909
