,index,log2_deme,migration_rate,s_driver_birth
415,00000181,1,0.025,0.2
416,00002FE6,8,0.5,1.4
417,00000290,1,0.1,1.5
418,000006D1,2,0.01,0.6
419,00002D2F,8,0.025,0.4
420,0000015F,1,0.025,0.5
421,000026BE,7,0.025,0.9
422,00002F5A,8,0.25,0.8
423,00000A7A,2,0.5,1.2
424,00000E2C,3,0.05,1.8
425,00001516,4,0.05,0.1
426,00001D7F,5,0.5,0.5
427,00001D9E,5,0.5,0.2
428,000017C4,4,0.75,1.2
429,000003B3,1,0.25,0.6
430,0000146C,4,0.05,1.8
431,00000F8B,3,0.1,0.3
432,00000A49,2,0.5,1.7
433,0000196C,5,0.01,1.0
434,000006EC,2,0.01,0.3
435,00000AA3,2,0.5,0.8
436,00000496,1,0.5,0.3
437,000022B0,6,0.25,1.2
438,00002A65,7,0.75,1.5
439,00000F58,3,0.1,0.8
440,000026FB,7,0.025,0.3
441,00002960,7,0.25,0.1
442,00000F50,3,0.1,0.8
443,000028D2,7,0.25,1.5
444,000019A1,5,0.01,0.4
445,0000240D,6,0.75,1.8
446,00000315,1,0.1,0.2
447,000015BF,4,0.1,0.4
448,00000ACD,2,0.5,0.4
449,00000E4E,3,0.05,1.4
450,00000EF0,3,0.1,1.8
451,00002BBB,7,1.0,0.1
452,00001D34,5,0.5,1.3
453,000015BE,4,0.1,0.4
454,000008E6,2,0.1,1.3
455,00001608,4,0.25,1.6
456,00000B6E,2,0.75,0.8
457,00000CB8,3,0.01,1.5
458,00000679,2,0.01,1.5
459,00000869,2,0.05,0.5
460,00002752,7,0.05,1.4
461,00002ACA,7,0.75,0.5
462,00002CEB,8,0.025,1.1
463,00001525,4,0.1,1.9
464,000017E7,4,0.75,0.9
465,0000003C,1,0.01,1.4
466,00002526,6,1.0,0.9
467,0000197B,5,0.01,0.8
468,0000190A,5,0.01,1.9
469,00003120,8,0.75,0.3
470,00002AF1,7,0.75,0.1
471,000019A8,5,0.01,0.4
472,00001C34,5,0.25,1.8
473,00002540,6,1.0,0.7
474,0000305D,8,0.5,0.2
475,00001244,3,1.0,1.3
476,00001554,4,0.1,1.4
477,00001184,3,0.75,1.2
478,0000282F,7,0.1,1.2
479,000028EC,7,0.25,1.3
480,0000143C,4,0.025,0.2
481,00001DCF,5,0.75,1.7
482,00001262,3,1.0,1.0
483,00001EAE,5,1.0,1.5
484,0000179A,4,0.75,1.6
485,00001C2D,5,0.25,1.9
486,00000116,1,0.025,1.3
487,00002AD8,7,0.75,0.4
488,00001D1D,5,0.5,1.5
489,00001428,4,0.025,0.4
490,00003083,8,0.75,1.9
491,00002D57,8,0.05,2.0
492,00001DDA,5,0.75,1.6
493,00001EB1,5,1.0,1.5
494,0000245F,6,0.75,0.9
495,0000186C,4,1.0,1.5
496,000016D8,4,0.5,1.6
497,00000A64,2,0.5,1.4
498,00000A65,2,0.5,1.4
499,000031C1,8,1.0,0.7
500,00001DF9,5,0.75,1.3
501,000001A3,1,0.05,1.9
502,00001703,4,0.5,1.1
503,00002D2B,8,0.025,0.4
504,00002DC5,8,0.05,0.9
505,00000960,2,0.25,2.0
506,00000C15,2,1.0,1.1
507,0000177F,4,0.75,1.9
508,0000125B,3,1.0,1.1
509,00001354,4,0.01,0.6
510,000004F1,1,0.75,1.4
511,0000012D,1,0.025,1.0
512,00001AB6,5,0.05,1.7
513,00001C43,5,0.25,1.7
514,000022C4,6,0.25,1.0
515,000027C6,7,0.05,0.2
516,00001D79,5,0.5,0.6
517,00002BC4,8,0.01,2.0
518,000016D2,4,0.5,1.6
519,00002D43,8,0.025,0.2
520,00001856,4,1.0,1.7
521,0000165F,4,0.25,0.8
522,0000013D,1,0.025,0.9
523,00000DAF,3,0.025,1.0
524,000008A9,2,0.1,1.9
525,0000256A,6,1.0,0.3
526,00000D86,3,0.025,1.4
527,00002838,7,0.1,1.1
528,00000FAD,3,0.25,1.9
529,00000FFE,3,0.25,1.1
530,000023AF,6,0.5,0.7
531,00002CC1,8,0.025,1.5
532,0000246B,6,0.75,0.8
533,000000AD,1,0.01,0.3
534,00001756,4,0.5,0.3
535,00001C51,5,0.25,1.6
536,00001587,4,0.1,0.9
537,00001290,3,1.0,0.5
538,0000103F,3,0.25,0.5
539,00000F69,3,0.1,0.6
540,00001BAF,5,0.1,1.2
541,00000D92,3,0.025,1.3
542,000016AB,4,0.5,2.0
543,00001D75,5,0.5,0.6
544,00002C11,8,0.01,1.2
545,0000111C,3,0.5,0.2
546,000028C5,7,0.25,1.7
547,00002FCB,8,0.5,1.7
548,0000271C,7,0.05,1.9
549,000005C4,1,1.0,1.3
550,00000C22,2,1.0,1.0
551,0000130A,4,0.01,1.3
552,00002F01,8,0.25,1.7
553,00000CB5,3,0.01,1.5
554,00002B6A,7,1.0,0.9
555,0000313E,8,1.0,2.0
556,0000037D,1,0.25,1.1
557,00002E3E,8,0.1,1.7
558,000001C4,1,0.05,1.5
559,000022BC,6,0.25,1.1
560,000010EF,3,0.5,0.7
561,00002712,7,0.05,2.0
562,00002A1D,7,0.5,0.2
563,000007F2,2,0.05,1.7
564,0000158D,4,0.1,0.9
565,00002EAE,8,0.1,0.5
566,00000831,2,0.05,1.1
567,00002F2E,8,0.25,1.3
568,000027E7,7,0.1,1.9
569,000012D0,4,0.01,1.9
570,00002261,6,0.25,2.0
571,00001EC2,5,1.0,1.3
572,00002B4C,7,1.0,1.2
573,000016F8,4,0.5,1.2
574,00001704,4,0.5,1.1
575,00002FE4,8,0.5,1.4
576,00000E69,3,0.05,1.2
577,00000F92,3,0.1,0.2
578,00001013,3,0.25,0.9
579,000010C2,3,0.5,1.1
580,00001194,3,0.75,1.0
581,00001796,4,0.75,1.7
582,00002E20,8,0.1,2.0
583,00000719,2,0.025,1.9
584,000008CB,2,0.1,1.5
585,00002586,7,0.01,2.0
586,000007F6,2,0.05,1.7
587,00002D72,8,0.05,1.7
588,000023CA,6,0.5,0.4
589,000009E4,2,0.25,0.7
590,00000C5B,2,1.0,0.4
591,000018ED,4,1.0,0.2
592,0000050D,1,0.75,1.1
593,00002BE8,8,0.01,1.6
594,000014BF,4,0.05,0.9
595,0000105E,3,0.25,0.1
596,00000CC6,3,0.01,1.3
597,0000032C,1,0.25,1.9
598,00001B9D,5,0.1,1.4
599,00001D8F,5,0.5,0.4
600,0000122F,3,1.0,1.5
601,0000075E,2,0.025,1.2
602,0000147C,4,0.05,1.6
603,000012E0,4,0.01,1.7
604,00000580,1,1.0,2.0
605,00000330,1,0.25,1.9
606,00002EC0,8,0.1,0.4
607,0000137A,4,0.01,0.2
608,00002668,7,0.025,1.7
609,00001133,3,0.75,2.0
610,00002CD2,8,0.025,1.3
611,00001829,4,0.75,0.2
612,0000158A,4,0.1,0.9
613,000024C1,6,1.0,2.0
614,00001E2E,5,0.75,0.8
