,index,mu_driver_birth,s_driver_birth
322,000000b0bb,1e-05,0.05
323,000000b1b,1e-05,0.05
324,000000b1bb,1e-05,0.05
325,000000b2b,1e-05,0.05
326,000000b2bb,1e-05,0.05
327,000000b3b,1e-05,0.05
328,000000b3bb,1e-05,0.05
329,000000b4b,1e-05,0.05
330,000000b4bb,1e-05,0.05
331,000000b5b,1e-05,0.05
332,000000b5bb,1e-05,0.05
333,000000b6b,1e-05,0.05
334,000000b6bb,1e-05,0.05
335,000000b7b,1e-05,0.05
336,000000b7bb,1e-05,0.05
337,000000b8b,1e-05,0.05
338,000000b8bb,1e-05,0.05
339,000000b9b,1e-05,0.05
340,000000b9bb,1e-05,0.05
341,000000bbb,1e-05,0.05
342,000000bbbb,1e-05,0.05
343,000000bBb,1e-05,0.05
344,000000bBbb,1e-05,0.05
345,000000bCb,1e-05,0.05
346,000000bCbb,1e-05,0.05
347,000000bDb,1e-05,0.05
348,000000bDbb,1e-05,0.05
349,000000bEb,1e-05,0.05
350,000000bEbb,1e-05,0.05
351,000000bFb,1e-05,0.05
352,000000bFbb,1e-05,0.05
353,000000B0b,1e-05,0.05
354,000000B0bb,1e-05,0.05
355,000000B1b,1e-05,0.05
356,000000B1bb,1e-05,0.05
357,000000B2b,1e-05,0.05
358,000000B2bb,1e-05,0.05
359,000000B3b,1e-05,0.05
360,000000B3bb,1e-05,0.05
361,000000B4b,1e-05,0.05
362,000000B4bb,1e-05,0.05
363,000000B5b,1e-05,0.05
364,000000B5bb,1e-05,0.05
365,000000B6b,1e-05,0.05
366,000000B6bb,1e-05,0.05
367,000000B7b,1e-05,0.05
368,000000B7bb,1e-05,0.05
369,000000B8b,1e-05,0.05
370,000000B8bb,1e-05,0.05
371,000000B9b,1e-05,0.05
372,000000B9bb,1e-05,0.05
373,000000Bbb,1e-05,0.05
374,000000Bbbb,1e-05,0.05
375,000000BBb,1e-05,0.05
376,000000BBbb,1e-05,0.05
377,000000BCb,1e-05,0.05
378,000000BCbb,1e-05,0.05
379,000000BDb,1e-05,0.05
380,000000BDbb,1e-05,0.05
381,000000BEb,1e-05,0.05
382,000000BEbb,1e-05,0.05
383,000000BFb,1e-05,0.05
384,000000BFbb,1e-05,0.05
385,000000C0b,1e-05,0.05
386,000000C0bb,1e-05,0.05
387,000000C1b,1e-05,0.05
388,000000C1bb,1e-05,0.05
389,000000C2b,1e-05,0.05
390,000000C2bb,1e-05,0.05
