,index,mu_driver_birth,s_driver_birth
555,000063C6,1e-05,1.5
556,0000197D,1e-02,0.2
557,00008D98,1e-06,0.4
558,00009793,1e-06,0.2
559,000039AF,1e-03,0.2
560,00007AAB,1e-05,0.1
561,000032EF,1e-03,0.3
562,00009384,1e-06,0.3
563,00001515,1e-02,0.3
564,00005FC8,1e-05,2.0
565,000025F7,1e-03,1.5
566,00002171,1e-03,2.0
567,00008D31,1e-06,0.4
568,000039AE,1e-03,0.2
569,00003850,1e-03,0.2
570,00007C34,1e-05,0.1
571,00002116,1e-03,2.0
572,00009638,1e-06,0.2
573,00004428,1e-04,1.5
574,0000453C,1e-04,1.5
575,00004853,1e-04,1.0
576,00005F21,1e-05,2.0
577,000075BE,1e-05,0.2
578,00006A2A,1e-05,0.5
579,00003AC9,1e-03,0.1
580,00006CB0,1e-05,0.5
581,000041B4,1e-04,2.0
582,00009844,1e-06,0.2
583,00000F64,1e-02,0.5
584,00002E7B,1e-03,0.5
585,00000140,1e-02,2.0
586,0000120B,1e-02,0.4
587,00007065,1e-05,0.4
588,0000506E,1e-04,0.4
589,000044C4,1e-04,1.5
590,000030FF,1e-03,0.4
591,0000816A,1e-06,1.5
592,0000394B,1e-03,0.2
593,0000927B,1e-06,0.3
594,000097DB,1e-06,0.2
595,00009803,1e-06,0.2
596,000007C4,1e-02,1.5
597,00005938,1e-04,0.2
598,00006EA0,1e-05,0.4
599,00004F7B,1e-04,0.4
600,00007EBD,1e-06,2.0
601,00006B87,1e-05,0.5
602,0000379E,1e-03,0.2
603,00000F35,1e-02,0.5
604,00007112,1e-05,0.4
605,000089B6,1e-06,0.5
606,0000578B,1e-04,0.2
607,00000439,1e-02,1.5
608,00003F96,1e-04,2.0
609,00003A7E,1e-03,0.2
610,000033A2,1e-03,0.3
611,00007086,1e-05,0.4
612,00002EFB,1e-03,0.4
613,00006FA1,1e-05,0.4
614,00001944,1e-02,0.2
615,000087EE,1e-06,1.0
616,00007A76,1e-05,0.1
617,00001E8A,1e-02,0.1
618,00001669,1e-02,0.3
619,00007563,1e-05,0.2
620,00006443,1e-05,1.5
621,0000580F,1e-04,0.2
622,000058D4,1e-04,0.2
623,00004B14,1e-04,0.5
624,000094ED,1e-06,0.2
625,00002C70,1e-03,0.5
626,0000021A,1e-02,2.0
627,00000CB6,1e-02,0.5
628,00006E2F,1e-05,0.4
629,000096A3,1e-06,0.2
630,0000167F,1e-02,0.3
631,00003856,1e-03,0.2
632,00001942,1e-02,0.2
633,00006F92,1e-05,0.4
634,0000060B,1e-02,1.5
635,00008DE3,1e-06,0.4
636,00006891,1e-05,1.0
637,00001016,1e-02,0.4
638,0000343A,1e-03,0.3
639,00002D66,1e-03,0.5
640,00008391,1e-06,1.5
641,00008F17,1e-06,0.4
642,00007755,1e-05,0.2
643,000071A1,1e-05,0.3
644,000090AD,1e-06,0.3
645,00002A46,1e-03,1.0
646,00003370,1e-03,0.3
647,00004F80,1e-04,0.4
648,00002C35,1e-03,0.5
649,000087B7,1e-06,1.0
650,00002B4F,1e-03,0.5
651,00000946,1e-02,1.0
652,00005DDF,1e-05,2.0
653,00007A84,1e-05,0.1
654,00007F5C,1e-06,2.0
655,00005877,1e-04,0.2
656,00004DCB,1e-04,0.5
657,00007DAB,1e-06,2.0
658,00000587,1e-02,1.5
659,000072F0,1e-05,0.3
660,00008677,1e-06,1.0
661,000056E2,1e-04,0.2
662,000017FE,1e-02,0.2
663,00002BEB,1e-03,0.5
664,00005D06,1e-04,0.1
665,00009234,1e-06,0.3
666,000064D8,1e-05,1.5
667,0000594D,1e-04,0.2
668,00003008,1e-03,0.4
669,0000838D,1e-06,1.5
670,0000576D,1e-04,0.2
671,00004B4E,1e-04,0.5
672,000044CE,1e-04,1.5
673,00003A84,1e-03,0.2
674,00000222,1e-02,2.0
675,000005AF,1e-02,1.5
676,00001997,1e-02,0.2
677,00007AFF,1e-05,0.1
678,00000295,1e-02,2.0
679,00008406,1e-06,1.5
680,000033B6,1e-03,0.3
681,00008D37,1e-06,0.4
682,00005ADE,1e-04,0.1
683,00008738,1e-06,1.0
684,000072CA,1e-05,0.3
685,000002E9,1e-02,2.0
686,00007BC8,1e-05,0.1
687,000035AC,1e-03,0.3
688,00006667,1e-05,1.0
689,0000639F,1e-05,1.5
690,000084B9,1e-06,1.5
691,00006749,1e-05,1.0
692,0000648E,1e-05,1.5
693,00003FFA,1e-04,2.0
694,00003FC6,1e-04,2.0
695,000054D7,1e-04,0.3
696,00008BDC,1e-06,0.5
697,000041BF,1e-04,2.0
698,00008AB3,1e-06,0.5
699,0000836A,1e-06,1.5
700,000002D5,1e-02,2.0
701,00007DFC,1e-06,2.0
702,00001633,1e-02,0.3
703,000098A4,1e-06,0.1
704,0000340C,1e-03,0.3
705,00007AFE,1e-05,0.1
706,000065B5,1e-05,1.0
707,0000272A,1e-03,1.0
708,00005DD6,1e-05,2.0
709,00006652,1e-05,1.0
710,00006698,1e-05,1.0
711,00001B86,1e-02,0.1
712,00000B6B,1e-02,1.0
713,0000240F,1e-03,1.5
714,00000090,1e-02,2.0
715,00000714,1e-02,1.5
716,000050E8,1e-04,0.4
717,000057A3,1e-04,0.2
718,0000832A,1e-06,1.5
719,00007342,1e-05,0.3
720,00009B27,1e-06,0.1
721,000064B9,1e-05,1.5
722,00006362,1e-05,1.5
723,000003B6,1e-02,2.0
724,00006E44,1e-05,0.4
725,00002711,1e-03,1.0
726,00008D87,1e-06,0.4
727,000044E3,1e-04,1.5
728,00008556,1e-06,1.0
729,0000816C,1e-06,1.5
730,000044BF,1e-04,1.5
731,000085BE,1e-06,1.0
732,00008E29,1e-06,0.4
733,00002ADC,1e-03,1.0
734,000095E4,1e-06,0.2
735,00007D5E,1e-06,2.0
736,00002A8A,1e-03,1.0
737,000013F7,1e-02,0.3
738,000048D2,1e-04,1.0
739,000022D9,1e-03,2.0
740,000047C1,1e-04,1.0
741,000084EB,1e-06,1.0
742,000098A9,1e-06,0.1
743,000053E5,1e-04,0.3
744,00008C7F,1e-06,0.5
745,00007307,1e-05,0.3
746,00004730,1e-04,1.0
747,0000603F,1e-05,2.0
748,000001BA,1e-02,2.0
749,00008014,1e-06,2.0
750,000058F3,1e-04,0.2
751,00007502,1e-05,0.3
752,0000521E,1e-04,0.3
753,0000824E,1e-06,1.5
754,000009A5,1e-02,1.0
755,00006113,1e-05,2.0
756,000086F2,1e-06,1.0
757,00004C83,1e-04,0.5
758,000005BC,1e-02,1.5
759,00000CA7,1e-02,0.5
760,0000355C,1e-03,0.3
761,00009769,1e-06,0.2
762,00001654,1e-02,0.3
763,00008C19,1e-06,0.5
764,0000913D,1e-06,0.3
765,00002201,1e-03,2.0
766,00003BF4,1e-03,0.1
767,00003A66,1e-03,0.2
768,000010EC,1e-02,0.4
769,00000551,1e-02,1.5
770,00003A5F,1e-03,0.2
771,00009A1B,1e-06,0.1
772,000068AB,1e-05,1.0
773,00009641,1e-06,0.2
774,000037D7,1e-03,0.2
775,0000421D,1e-04,2.0
776,00005597,1e-04,0.3
777,00007771,1e-05,0.2
778,00001E35,1e-02,0.1
779,000054C5,1e-04,0.3
780,000095D9,1e-06,0.2
781,00008BAC,1e-06,0.5
782,00003977,1e-03,0.2
783,00002B50,1e-03,0.5
