,index,mu_driver_birth,s_driver_birth
485,000001E4a,1e-05,0.15
486,000001E5a,1e-05,0.15
487,000001E6a,1e-05,0.15
488,000001E7a,1e-05,0.15
489,000001E8a,1e-05,0.15
490,000001E9a,1e-05,0.15
491,000001EAa,1e-05,0.15
492,000001EBa,1e-05,0.15
493,000001ECa,1e-05,0.15
494,000001EDa,1e-05,0.15
495,000001EEa,1e-05,0.15
496,000001EFa,1e-05,0.15
497,000001F0a,1e-05,0.15
498,000001F1a,1e-05,0.15
499,000001F2a,1e-05,0.15
500,000001F3a,1e-05,0.15
501,000001F4a,1e-05,0.15
502,000001F5a,1e-05,0.15
503,000001F6a,1e-05,0.15
504,000001F7a,1e-05,0.15
505,000001F8a,1e-05,0.15
506,000001F9a,1e-05,0.15
507,000001FAa,1e-05,0.15
508,000001FBa,1e-05,0.15
509,000001FCa,1e-05,0.15
510,000001FDa,1e-05,0.15
511,000001FEa,1e-05,0.15
512,000001FFa,1e-05,0.15
513,00000200a,1e-05,0.15
514,00000201a,1e-05,0.15
515,00000202a,1e-05,0.15
516,00000203a,1e-05,0.15
517,00000204a,1e-05,0.15
518,00000205a,1e-05,0.15
519,00000206a,1e-05,0.15
520,00000207a,1e-05,0.15
521,00000208a,1e-05,0.15
522,00000209a,1e-05,0.15
523,0000020Aa,1e-05,0.15
524,0000020Ba,1e-05,0.15
525,0000020Ca,1e-05,0.15
526,0000020Da,1e-05,0.15
527,0000020Ea,1e-05,0.15
528,0000020Fa,1e-05,0.15
529,00000210a,1e-05,0.15
530,00000211a,1e-05,0.15
531,00000212a,1e-05,0.15
532,00000213a,1e-05,0.15
533,00000214a,1e-05,0.15
534,00000215a,1e-05,0.15
535,00000216a,1e-05,0.15
536,00000217a,1e-05,0.15
537,00000218a,1e-05,0.15
538,00000219a,1e-05,0.15
539,0000021Aa,1e-05,0.15
540,0000021Ba,1e-05,0.15
541,0000021Ca,1e-05,0.15
542,0000021Da,1e-05,0.15
543,0000021Ea,1e-05,0.15
544,0000021Fa,1e-05,0.15
545,00000220a,1e-05,0.15
546,00000221a,1e-05,0.15
547,00000222a,1e-05,0.15
548,00000223a,1e-05,0.15
549,00000224a,1e-05,0.15
550,00000225a,1e-05,0.15
551,00000226a,1e-05,0.15
552,00000227a,1e-05,0.15
553,00000228a,1e-05,0.15
554,00000229a,1e-05,0.15
555,0000022Aa,1e-05,0.15
556,0000022Ba,1e-05,0.15
557,0000022Ca,1e-05,0.15
558,0000022Da,1e-05,0.15
559,0000022Ea,1e-05,0.15
560,0000022Fa,1e-05,0.15
561,00000230a,1e-05,0.15
562,00000231a,1e-05,0.15
563,00000232a,1e-05,0.15
564,00000233a,1e-05,0.15
565,00000234a,1e-05,0.15
566,00000235a,1e-05,0.15
567,00000236a,1e-05,0.15
568,00000237a,1e-05,0.15
569,00000238a,1e-05,0.15
570,00000239a,1e-05,0.15
571,0000023Aa,1e-05,0.15
572,0000023Ba,1e-05,0.15
573,0000023Ca,1e-05,0.15
574,0000023Da,1e-05,0.15
575,0000023Ea,1e-05,0.15
576,0000023Fa,1e-05,0.15
577,00000240a,1e-05,0.15
578,00000241a,1e-05,0.15
579,00000242a,1e-05,0.15
580,00000243a,1e-05,0.15
581,00000244a,1e-05,0.15
582,00000245a,1e-05,0.15
583,00000246a,1e-05,0.15
584,00000247a,1e-05,0.15
585,00000248a,1e-05,0.15
586,00000249a,1e-05,0.15
587,0000024Aa,1e-05,0.15
588,0000024Ba,1e-05,0.15
589,0000024Ca,1e-05,0.15
590,0000024Da,1e-05,0.15
591,0000024Ea,1e-05,0.15
592,0000024Fa,1e-05,0.15
593,00000250a,1e-05,0.15
594,00000251a,1e-05,0.15
595,00000252a,1e-05,0.15
596,00000253a,1e-05,0.15
597,00000254a,1e-05,0.15
598,00000255a,1e-05,0.15
599,00000256a,1e-05,0.15
600,00000257a,1e-05,0.15
601,00000258a,1e-05,0.15
602,00000259a,1e-05,0.15
603,0000025Aa,1e-05,0.15
604,0000025Ba,1e-05,0.15
605,0000025Ca,1e-05,0.15
606,0000025Da,1e-05,0.15
607,0000025Ea,1e-05,0.15
608,0000025Fa,1e-05,0.15
609,00000260a,1e-05,0.15
610,00000261a,1e-05,0.15
611,00000262a,1e-05,0.15
612,00000263a,1e-05,0.15
613,00000264a,1e-05,0.15
614,00000265a,1e-05,0.15
615,00000266a,1e-05,0.15
616,00000267a,1e-05,0.15
617,00000268a,1e-05,0.15
618,00000269a,1e-05,0.15
619,0000026Aa,1e-05,0.15
620,0000026Ba,1e-05,0.15
621,0000026Ca,1e-05,0.15
622,0000026Da,1e-05,0.15
623,0000026Ea,1e-05,0.15
624,0000026Fa,1e-05,0.15
625,00000270a,1e-05,0.15
626,00000271a,1e-05,0.15
627,00000272a,1e-05,0.15
628,00000273a,1e-05,0.15
629,00000274a,1e-05,0.15
630,00000275a,1e-05,0.15
631,00000276a,1e-05,0.15
632,00000277a,1e-05,0.15
633,00000278a,1e-05,0.15
634,00000279a,1e-05,0.15
635,0000027Aa,1e-05,0.15
636,0000027Ba,1e-05,0.15
637,0000027Ca,1e-05,0.15
638,0000027Da,1e-05,0.15
639,0000027Ea,1e-05,0.15
640,0000027Fa,1e-05,0.15
641,00000280a,1e-05,0.15
642,00000281a,1e-05,0.15
643,00000282a,1e-05,0.15
644,00000283a,1e-05,0.15
