,id,speed_early,speed_late
2395,0000095A,0.053479428,0.057316904
2396,0000095B,0.054301949,0.057029733
2397,0000095C,0.055247815,0.057261502
2398,0000095D,0.055099474,0.056474153
2399,0000095E,0.054473201,0.056528125
2400,0000095F,0.054459358,0.056676295
2401,00000960,1.12783062,1.141663855
2402,00000961,1.155739378,1.147951025
2403,00000962,1.109620149,1.14581043
2404,00000963,1.114562288,1.148835515
2405,00000964,1.113628292,1.153970123
2406,00000965,1.162565017,1.165431393
2407,00000966,1.173649491,1.164407199
2408,00000967,1.102113238,1.150536513
2409,00000968,1.125701692,1.149603734
2410,00000969,1.114325689,1.148486145
2411,0000096A,1.091704263,1.098770895
2412,0000096B,1.072266138,1.104789542
2413,0000096C,1.073230313,1.104132448
2414,0000096D,1.074823886,1.096847172
2415,0000096E,1.091362879,1.097823792
2416,0000096F,1.119881144,1.100568745
2417,00000970,1.087407281,1.107477887
2418,00000971,1.075155966,1.086185836
2419,00000972,1.080607469,1.098042796
2420,00000973,1.050884107,1.102326848
2421,00000974,1.013854571,1.043161342
2422,00000975,1.029880185,1.043011212
2423,00000976,1.010717779,1.057771395
2424,00000977,1.016551773,1.041069985
2425,00000978,1.05369232,1.048172872
2426,00000979,1.037669598,1.03954301
2427,0000097A,0.989494441,1.052875405
2428,0000097B,1.01474925,1.056615167
2429,0000097C,1.067419393,1.04631018
2430,0000097D,1.068678459,1.045122845
2431,0000097E,0.990169542,1.004046161
2432,0000097F,0.97315365,0.99086209
2433,00000980,0.975399163,1.003071883
2434,00000981,1.022391585,0.995611079
2435,00000982,0.967599931,1.003296829
2436,00000983,0.988757523,1.002504949
2437,00000984,0.955214437,0.998545312
2438,00000985,0.976831304,1.005602441
2439,00000986,0.980272001,0.990326339
2440,00000987,0.968035848,1.003654994
2441,00000988,0.932401019,0.955238042
2442,00000989,0.923593349,0.944329168
2443,0000098A,0.903058348,0.959154866
2444,0000098B,0.921683223,0.956376275
2445,0000098C,0.896570081,0.944294521
2446,0000098D,0.942889185,0.948142104
2447,0000098E,0.949235046,0.952552058
2448,0000098F,0.907086453,0.94367836
2449,00000990,0.912636791,0.945443233
2450,00000991,0.943552388,0.952588238
2451,00000992,0.884050267,0.892650755
2452,00000993,0.876446384,0.894274338
2453,00000994,0.895953345,0.899839179
2454,00000995,0.899461581,0.885716351
2455,00000996,0.896026086,0.888741216
2456,00000997,0.870156899,0.892924863
2457,00000998,0.866115144,0.899452979
2458,00000999,0.871209177,0.898019187
2459,0000099A,0.928619565,0.904628493
2460,0000099B,0.874566591,0.895665704
